"","Country","iso2","iso3","Year","icd10n","icd103n","icd104n","icd10c","icd103c","icd104c","icd11c1","icd11c2","icd11c3","icd11l1","icd11l2","icd11l3","Disease","DONs","Definition"
"12","Afghanistan","AF","AFG","2019","Arthropod-borne viral fevers and viral haemorrhagic fevers","Dengue","Dengue, unspecified","A92-A99","A97","A979","1","D2Z","1D2Z","Certain infectious or parasitic diseases  ","Dengue","Dengue fever, unspecified","Dengue fever, unspecified","DON2592","Dengue is a viral disease transmitted by the bite of a mosquito infected by dengue viruses. It is one disease entity with different clinical presentations and often with unpredictable clinical evolution and outcome. Most patients recover following a self-limiting non-severe clinical course like nausea, vomiting, rash, aches and pains, but a small proportion progress to severe disease, mostly characterised by plasma leakage with or without haemorrhage, although severe haemorrhages or severe organ impairment can occur, with or without dengue shock."
"13","Afghanistan","AF","AFG","2001","Intestinal infectious diseases","Cholera","Classical cholera","A00-A09","A00","A000","1","A00","1A00","Certain infectious or parasitic diseases  ","Gastroenteritis or colitis of infectious origin  ","Bacterial intestinal infections  ","Cholera","DON0514","Intestinal infection due to Vibrio cholerae"
"14","Afghanistan","AF","AFG","2002","Protozoal diseases","Leishmaniasis","Leishmaniasis, unspecified","B50-B64","B55","B559","1","F54","1F54","Certain infectious or parasitic diseases  ","Nonintestinal protozoal diseases","Leishmaniasis","Leishmaniasis, unspecified","DON0597, DON0604","Leishmaniasis is due to infection by vector-borne protozoa from the genus Leishmania. These protozoa exist as obligate intracellular parasites in human and mammalian hosts and are transmitted form host to host by certain species of sandfly. Depending on the Leishmania species involved, the resultant disease picture may range from a localised cutaneous ulcer through extensive mucocutaneous destruction to severe systemic disease."
"15","Afghanistan","AF","AFG","2022","Viral infections characterized by skin and mucous membrane lesions","Measles","Measles","B00-B09","B05","B05","1","F03","1F03","Certain infectious or parasitic diseases  ","Viral infections characterised by skin or mucous membrane lesions","Measles","Measles","DON2715","A disease of the respiratory system, caused by an infection with Morbillivirus. This disease is characterised by a blotchy rash, fever, cough, conjunctivitis, or malaise. This disease may also present with tiny white spots with bluish-white centres inside the mouth. Transmission is by inhalation of infected respiratory secretions, airborne transmission or direct contact. Confirmation is by detection of Morbillivirus RNA or measles-specific IgM antibodies."
"16","Afghanistan","AF","AFG","2003","Other bacterial diseases","Diphtheria","Diphtheria, unspecified","A30-A49","A36","A369","1","C17","1C17","Certain infectious or parasitic diseases  ","Other bacterial diseases","Diphtheria","Diphtheria, unspecified","DON0785","A disease commonly of the respiratory system, caused by an infection of the gram-positive bacteria Corynebacterium diphtheriae. This disease is characterised by sore throat, fever, and a pseudomembrane on the tonsils, pharynx, or nasal cavity. Transmission is by inhalation of infected respiratory secretions, or direct cutaneous contact. Confirmation is by identification of Corynebacterium diphtheriae from a throat swab or infected tissue, and by clinical signs."
"17","Afghanistan","AF","AFG","1998","Arthropod-borne viral fevers and viral haemorrhagic fevers","Unspecified viral haemorrhagic fever","Unspecified viral haemorrhagic fever","A92-A99","A99","A990","1","D86","1D86","Certain infectious or parasitic diseases  ","Certain other viral diseases","Viral haemorrhagic fever, not elsewhere classified","Unspecified viral haemorrhagic fever","DON0229",""
"18","Albania","AL","ALB","2011","Arthropod-borne viral fevers and viral haemorrhagic fevers","Other mosquito-borne viral fevers","West Nile virus infection","A92-A99","A92","A923","1","D46","1D46","Certain infectious or parasitic diseases  ","Certain arthropod-borne viral fevers","West Nile virus infection","West Nile virus infection","DON1599","A condition caused by an infection with West Nile Virus. This condition is common asymptomatic. This condition may present with fever, headache, stiffness of the neck, stupor, disorientation, coma, tremors, convulsions, muscle weakness, or paralysis. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgG or IgM anti-West Nile virus antibodies in a serum sample."
"19","Albania","AL","ALB","2009","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON1472","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"20","Albania","AL","ALB","1996","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","A80-A89","A80","A809","1","C81","1C81","Certain infectious or parasitic diseases  ","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","DON0079","A disease of the nervous system, caused by human poliovirus. This disease commonly presents with a fever, sore throat, headache, vomiting, or stiffness of the neck and back. This disease may present with an acute onset of flaccid paralysis. Transmission is commonly by the faecal-oral route or direct contact. Confirmation is by identification of poliovirus in a faecal sample or by a lumbar puncture."
"21","Algeria","DZ","DZA","2003","Certain zoonotic bacterial diseases","Plague","Plague, unspecified","A20-A28","A20","A209","1","B93","1B93","Certain infectious or parasitic diseases  ","Certain zoonotic bacterial diseases","Plague","Plague, unspecified  ","DON0774, DON0765, DON0777","A disease caused by an infection with the gram-negative bacteria Yersinia pestis. This disease commonly presents with an infection of the lymph nodes leading to swelling and pain. This disease may also present with gangrene of the extremities, chills, malaise, high fever, muscle cramps, or seizures. Transmission is through the bite of an infected flea, by direct contact, or by droplet transmission."
"22","Algeria","DZ","DZA","2009","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON1429, DON1430, DON1434, DON1433, DON1428, DON1431, DON1435","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"23","Algeria","DZ","DZA","2014","Provisional assignment of new diseases of uncertain etiology or emergency use","Severe acute respiratory syndrome [SARS]","Middle East respiratory syndrome coronavirus [MERS-CoV]","U00-U49","U04","U040","1","D64","1D64","Certain infectious or parasitic diseases  ","Certain zoonotic viral diseases","Middle East respiratory syndrome","Middle East respiratory syndrome","DON1931","A disease caused by an infection with Middle East Respiratory Syndrome coronavirus (MERS-CoA). This disease is characterised by severe acute respiratory illness with fever, cough, and shortness of breath. Confirmation is by identification of Middle East Respiratory Syndrome coronavirus from genetic material."
"24","Algeria","DZ","DZA","2004","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON0813","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"25","Algeria","DZ","DZA","2018","Intestinal infectious diseases","Cholera","Classical cholera","A00-A09","A00","A000","1","A00","1A00","Certain infectious or parasitic diseases  ","Gastroenteritis or colitis of infectious origin  ","Bacterial intestinal infections  ","Cholera","DON2451","Intestinal infection due to Vibrio cholerae"
"26","Algeria","DZ","DZA","1996","Intestinal infectious diseases","Typhoid and paratyphoid fevers","Typhoid fever","A00-A09","A01","A010","1","A07","1A07","Certain infectious or parasitic diseases  ","Gastroenteritis or colitis of infectious origin  ","Bacterial intestinal infections  ","Typhoid fever","DON0005","A condition caused by an infection with the gram-negative bacteria Salmonella typhi. This condition is characterised by an acute sustained fever. This condition may present with weakness, stomach pains, headache, loss of appetite, or flat, rose-coloured spots. Transmission is by the faecal-oral route from the ingestion of contaminated food or water. Confirmation is by identification of Salmonella typhi in a faecal or blood sample."
"27","American Samoa","AS","ASM","2019","Viral infections characterized by skin and mucous membrane lesions","Measles","Measles","B00-B09","B05","B05","1","F03","1F03","Certain infectious or parasitic diseases  ","Viral infections characterised by skin or mucous membrane lesions","Measles","Measles","DON2583","A disease of the respiratory system, caused by an infection with Morbillivirus. This disease is characterised by a blotchy rash, fever, cough, conjunctivitis, or malaise. This disease may also present with tiny white spots with bluish-white centres inside the mouth. Transmission is by inhalation of infected respiratory secretions, airborne transmission or direct contact. Confirmation is by detection of Morbillivirus RNA or measles-specific IgM antibodies."
"28","American Samoa","AS","ASM","2009","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON1437","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"29","Andorra","AD","AND","2009","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON1437","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"30","Angola","AO","AGO","2007","Other infectious diseases","Other and unspecified infectious diseases","Other and unspecified infectious diseases","B99-B99","B99","B990","1","H0Z","1H0Z","Certain infectious or parasitic diseases  ","","","Infection, unspecified","DON1258, DON1257",""
"31","Angola","AO","AGO","2006","Intestinal infectious diseases","Cholera","Classical cholera","A00-A09","A00","A000","1","A00","1A00","Certain infectious or parasitic diseases  ","Gastroenteritis or colitis of infectious origin  ","Bacterial intestinal infections  ","Cholera","DON1123, DON1129, DON1126, DON1115","Intestinal infection due to Vibrio cholerae"
"32","Angola","AO","AGO","2005","Arthropod-borne viral fevers and viral haemorrhagic fevers","Unspecified viral haemorrhagic fever","Unspecified viral haemorrhagic fever","A92-A99","A99","A990","1","D86","1D86","Certain infectious or parasitic diseases  ","Certain other viral diseases","Viral haemorrhagic fever, not elsewhere classified","Unspecified viral haemorrhagic fever","DON0976, DON1034, DON0965, DON0980, DON0950, DON0956, DON0970, DON0972, DON0957, DON0969, DON0952, DON1006, DON0955, DON0959, DON0966, DON0983, DON0962, DON0974, DON1003, DON1013, DON0958, DON0961, DON0947, DON0963, DON0986, DON0967",""
"33","Angola","AO","AGO","2009","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON1445","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"34","Angola","AO","AGO","2010","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON1512, DON1524, DON1517, DON1515, DON1533, DON1531, DON1525, DON1529, DON1519, DON1514, DON1518","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"35","Angola","AO","AGO","1999","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","A80-A89","A80","A809","1","C81","1C81","Certain infectious or parasitic diseases  ","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","DON0317","A disease of the nervous system, caused by human poliovirus. This disease commonly presents with a fever, sore throat, headache, vomiting, or stiffness of the neck and back. This disease may present with an acute onset of flaccid paralysis. Transmission is commonly by the faecal-oral route or direct contact. Confirmation is by identification of poliovirus in a faecal sample or by a lumbar puncture."
"36","Angola","AO","AGO","2016","Arthropod-borne viral fevers and viral haemorrhagic fevers","Yellow fever","Yellow fever, unspecified","A92-A99","A95","A959","1","D47","1D47","Certain infectious or parasitic diseases  ","Certain arthropod-borne viral fevers","Yellow fever","Yellow fever, unspecified","DON2185, DON2225, DON2255, DON2207","A condition caused by an infection with yellow fever virus. This condition is characterised by fever, chills, headache, myalgia, conjunctival congestion, or relative bradycardia. Severe conditions may also present with increasing fever, jaundice, renal failure, or bleeding. Transmission is through the bite of an infected mosquito. Confirmation is by detection of IgM anti-yellow fever virus antibodies in a serum sample."
"37","Angola","AO","AGO","1998","Viral infections of the central nervous system","Viral meningitis","Viral meningitis, unspecified","A80-A89","A87","A879","1","C8E","1C8E","Certain infectious or parasitic diseases  ","Viral infections of the central nervous system","Viral meningitis not elsewhere classified","Viral meningitis not elsewhere classified, unspecified","DON0242, DON0250","Any disease of the meninges, caused by an infection with a viral source."
"38","Angola","AO","AGO","1996","Viral infections of the central nervous system","Viral meningitis","Viral meningitis, unspecified","A80-A89","A87","A879","1","C8E","1C8E","Certain infectious or parasitic diseases  ","Viral infections of the central nervous system","Viral meningitis not elsewhere classified","Viral meningitis not elsewhere classified, unspecified","DON0059","Any disease of the meninges, caused by an infection with a viral source."
"39","Angola","AO","AGO","2001","Other bacterial diseases","Meningococcal infection","Meningococcal meningitis","A30-A49","A39","A390","1","C1C","1C1C","Certain infectious or parasitic diseases  ","Other bacterial diseases","Meningococcal disease","Meningococcal meningitis","DON0517, DON0532","A condition of the meninges, caused by an infection with the gram-negative bacteria Neisseria meningitidis. This condition is characterised by high fever, stiff neck, severe headache, vomiting, purpura, photophobia, and sometimes chills, altered mental status, or seizures. Transmission is through haematogenous spread to the meninges after droplet transmission or direct contact. Confirmation is by identification of Neisseria meningitidis through a lumbar puncture, agglutination tests, or polymerase chain reaction."
"40","Angola","AO","AGO","2007","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","A80-A89","A80","A809","1","C81","1C81","Certain infectious or parasitic diseases  ","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","DON1230","A disease of the nervous system, caused by human poliovirus. This disease commonly presents with a fever, sore throat, headache, vomiting, or stiffness of the neck and back. This disease may present with an acute onset of flaccid paralysis. Transmission is commonly by the faecal-oral route or direct contact. Confirmation is by identification of poliovirus in a faecal sample or by a lumbar puncture."
"41","Angola","AO","AGO","2019","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","A80-A89","A80","A809","1","C81","1C81","Certain infectious or parasitic diseases  ","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","DON2546","A disease of the nervous system, caused by human poliovirus. This disease commonly presents with a fever, sore throat, headache, vomiting, or stiffness of the neck and back. This disease may present with an acute onset of flaccid paralysis. Transmission is commonly by the faecal-oral route or direct contact. Confirmation is by identification of poliovirus in a faecal sample or by a lumbar puncture."
"42","Angola","AO","AGO","2005","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","A80-A89","A80","A809","1","C81","1C81","Certain infectious or parasitic diseases  ","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","DON1014, DON0999","A disease of the nervous system, caused by human poliovirus. This disease commonly presents with a fever, sore throat, headache, vomiting, or stiffness of the neck and back. This disease may present with an acute onset of flaccid paralysis. Transmission is commonly by the faecal-oral route or direct contact. Confirmation is by identification of poliovirus in a faecal sample or by a lumbar puncture."
"43","Angola","AO","AGO","2021","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","A80-A89","A80","A809","1","C81","1C81","Certain infectious or parasitic diseases  ","Viral infections of the central nervous system","Acute poliomyelitis","Acute poliomyelitis, unspecified","DON2682","A disease of the nervous system, caused by human poliovirus. This disease commonly presents with a fever, sore throat, headache, vomiting, or stiffness of the neck and back. This disease may present with an acute onset of flaccid paralysis. Transmission is commonly by the faecal-oral route or direct contact. Confirmation is by identification of poliovirus in a faecal sample or by a lumbar puncture."
"44","Angola","AO","AGO","2011","Other infectious diseases","Other and unspecified infectious diseases","Other and unspecified infectious diseases","B99-B99","B99","B990","1","H0Z","1H0Z","Certain infectious or parasitic diseases  ","","","Infection, unspecified","DON1598",""
"45","Angola","AO","AGO","1999","Other bacterial diseases","Meningococcal infection","Meningococcal meningitis","A30-A49","A39","A390","1","C1C","1C1C","Certain infectious or parasitic diseases  ","Other bacterial diseases","Meningococcal disease","Meningococcal meningitis","DON0355","A condition of the meninges, caused by an infection with the gram-negative bacteria Neisseria meningitidis. This condition is characterised by high fever, stiff neck, severe headache, vomiting, purpura, photophobia, and sometimes chills, altered mental status, or seizures. Transmission is through haematogenous spread to the meninges after droplet transmission or direct contact. Confirmation is by identification of Neisseria meningitidis through a lumbar puncture, agglutination tests, or polymerase chain reaction."
"46","Antigua and Barbuda","AG","ATG","2009","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON1429, DON1434, DON1430, DON1435, DON1433, DON1431","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"47","Argentina","AR","ARG","2009","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON1416, DON1403, DON1420, DON1429, DON1409, DON1407, DON1418, DON1404, DON1425, DON1396, DON1415, DON1412, DON1430, DON1411, DON1402, DON1424, DON1428, DON1426, DON1399, DON1433, DON1395, DON1394, DON1422, DON1397, DON1413, DON1423, DON1419, DON1410, DON1406, DON1398, DON1405, DON1435, DON1400, DON1434, DON1427, DON1431","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"48","Argentina","AR","ARG","2019","Other viral diseases","Other viral diseases, not elsewhere classified","Hantavirus (cardio-)pulmonary syndrome","B25-B34","B33","B334","1","D62","1D62","Certain infectious or parasitic diseases  ","Certain zoonotic viral diseases","Hantavirus disease","Hantavirus pulmonary syndrome","DON2488","An acute zoonotic viral disease characterised by abrupt onset of fever, influenza-like clinical signs (e.g., chills, headache, myalgia, dry cough), gastrointestinal signs (e.g., diffuse abdominal pain, vomiting, diarrhoea), transient troubled vision (acute myopia), lumbalgia due to renal swelling, haemorrhagic manifestations to various degrees sometimes followed by rapidly increasing dyspnoea due to not-cardiogenic acute lung oedema, and/or renal involvement. The latter is characterised by initial, often massive proteinuria and microhaematuria sometimes accompanied by transient renal function impediment. All hantavirus infections are heralded by varying degrees of transient thrombocytopenia, which may serve as an indicator of clinical severity."
"49","Argentina","AR","ARG","2010","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON1533, DON1525, DON1536, DON1531, DON1529, DON1537","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"50","Argentina","AR","ARG","2016","Arthropod-borne viral fevers and viral haemorrhagic fevers","Other mosquito-borne viral fevers","Chikungunya virus disease","A92-A99","A92","A920","1","D40","1D40","Certain infectious or parasitic diseases  ","Certain arthropod-borne viral fevers","Chikungunya virus disease","Chikungunya mosquito-borne viral fever","DON2201","Individuals are infected with the virus through a mosquito bite from Aedes mosquitos (Aedes albopictus and A. aegypti). Concomitant fever and arthalgia are a common specific sign although infection can present with non-specific symptoms that can be confused with Dengue including headache, rash and myalgia. Free virions are transported via the blood to the liver (hepatocyte apoptosis), muscle, joints and secondary lymphoid organs (adenopathy), wherein the virus replicates. Viral replication is associated with an infiltration of mononuclear cells including macrophages, which underlies the debilitating pain experienced in the muscles and joints, which can persist for months to years post infection. A small percentage of infected individuals remain asymptomatic, this is more common in patients under 25 years old. Age over 40 years is a risk factor for chronicity of symptoms. Encephalitis, Guillain-Barre sundrome and arthritis are rare complications of infection with Chikungya virus."
"51","Argentina","AR","ARG","1996","Intestinal infectious diseases","Cholera","Classical cholera","A00-A09","A00","A000","1","A00","1A00","Certain infectious or parasitic diseases  ","Gastroenteritis or colitis of infectious origin  ","Bacterial intestinal infections  ","Cholera","DON0010","Intestinal infection due to Vibrio cholerae"
"52","Armenia","AM","ARM","1998","Intestinal infectious diseases","Cholera","Classical cholera","A00-A09","A00","A000","1","A00","1A00","Certain infectious or parasitic diseases  ","Gastroenteritis or colitis of infectious origin  ","Bacterial intestinal infections  ","Cholera","DON0255","Intestinal infection due to Vibrio cholerae"
"53","Armenia","AM","ARM","2009","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON1473, DON1464","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"54","Aruba","AW","ABW","2009","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON1435, DON1434","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"55","Australia","AU","AUS","2009","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON1397, DON1420, DON1435, DON1422, DON1430, DON1413, DON1396, DON1424, DON1423, DON1398, DON1402, DON1427, DON1416, DON1418, DON1394, DON1426, DON1428, DON1405, DON1412, DON1431, DON1410, DON1399, DON1404, DON1429, DON1415, DON1407, DON1433, DON1409, DON1411, DON1425, DON1406, DON1395, DON1434, DON1403, DON1400, DON1419","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
"56","Australia","AU","AUS","2019","Viral infections characterized by skin and mucous membrane lesions","Measles","Measles","B00-B09","B05","B05","1","F03","1F03","Certain infectious or parasitic diseases  ","Viral infections characterised by skin or mucous membrane lesions","Measles","Measles","DON2521","A disease of the respiratory system, caused by an infection with Morbillivirus. This disease is characterised by a blotchy rash, fever, cough, conjunctivitis, or malaise. This disease may also present with tiny white spots with bluish-white centres inside the mouth. Transmission is by inhalation of infected respiratory secretions, airborne transmission or direct contact. Confirmation is by detection of Morbillivirus RNA or measles-specific IgM antibodies."
"57","Australia","AU","AUS","2018","Other bacterial diseases","Listeriosis","Listeriosis, unspecified","A30-A49","A32","A329","1","C1A","1C1A","Certain infectious or parasitic diseases  ","Other bacterial diseases","Listeriosis","Listeriosis, unspecified","DON2409","A disease caused by an infection with the gram-positive bacteria Listeria. This disease commonly presents with fever and muscle aches, followed by gastrointestinal symptoms."
"58","Australia","AU","AUS","2010","Influenza and pneumonia","Influenza due to identified zoonotic or pandemic influenza virus","Influenza due to identified zoonotic or pandemic influenza virus","J09-J18","J09","J090","1","E31","1E31","Certain infectious or parasitic diseases  ","Influenza","Influenza"," Influenza due to identified zoonotic or pandemic influenza virus","DON1531, DON1533, DON1519, DON1517, DON1538, DON1512, DON1536, DON1529, DON1537, DON1524, DON1525, DON1518","Influenza, caused by influenza virus strains of special epidemiological importance with an animal-human or inter-human transmission."
