"","Strain Name","Virus Species","GenBank Accession","Sequence Length","Pango Genome Lineage","Collection Date","Year","Host","GenBank Host","Country","Mol Type","seq_length","seq_coverage","cov_categories","Continent","Continent_Region"
"23","Hu/85/NR/001","Chikungunya virus","HM045800","11897","-N/A-","31048",1985-01-01,"Human","Homo sapiens","Philippines","genomic RNA",11897,0.991416666666667,">90%","Asia","Southeastern Asia"
"24","PhH15483","Chikungunya virus","HM045790","11907","-N/A-","07/17/1985",1985-07-17,"Human","Homo sapiens","Philippines","genomic RNA",11907,0.99225,">90%","Asia","Southeastern Asia"
"25","ALSA-1","Chikungunya virus","HM045806","11768","-N/A-","31413",1986-01-01,"Unknown","-N/A-","India","genomic RNA",11768,0.980666666666667,">90%","Asia","India+"
"26","Chikungunya virus/H.sapiens-tc/USA/1986/181-Clone 25","Chikungunya virus","MK028839","12081","-N/A-","31413",1986-01-01,"Unknown","-N/A-","United States of America","genomic RNA",12081,1.00675,">90%","North America","USA"
"27","6441-88","Chikungunya virus","HM045789","11855","-N/A-","32143",1988-01-01,"Human","Homo sapiens","Thailand","genomic RNA",11855,0.987916666666667,">90%","Asia","Southeastern Asia"
"28","CHIKV/Homo sapiens/THA/6307-88/1988","Chikungunya virus","KX262988","11869","-N/A-","32143",1988-01-01,"Human","Homo sapiens","Thailand","genomic RNA",11869,0.989083333333333,">90%","Asia","Southeastern Asia"
"29","ArD 93229","Chikungunya virus","HM045819","11860","-N/A-","02/1993",1993-02-01,"Mosquito","Aedes dalzieli","Senegal","genomic RNA",11860,0.988333333333333,">90%","Africa","Western Africa"
"30","ArA 30548","Chikungunya virus","HM045820","11817","-N/A-","12/1993",1993-12-01,"Mosquito","Aedes africanus","Ivory Coast","genomic RNA",11817,0.98475,">90%","Africa","Western Africa"
"31","SV0444-95","Chikungunya virus","HM045787","11968","-N/A-","34700",1995-01-01,"Human","Homo sapiens","Thailand","genomic RNA",11968,0.997333333333333,">90%","Asia","Southeastern Asia"
"32","CO392-95","Chikungunya virus","HM045796","11979","-N/A-","34700",1995-01-01,"Human","Homo sapiens","Thailand","genomic RNA",11979,0.99825,">90%","Asia","Southeastern Asia"
"33","CHIKV/Homo sapiens/USA/HIMSTSSA287/1995","Chikungunya virus","KY575574","11756","-N/A-","34700",1995-01-01,"Human","Homo sapiens","United States of America","genomic RNA",11756,0.979666666666667,">90%","North America","USA"
"34","CHIKV/Homo sapiens/THA/SVO-451-96/1996","Chikungunya virus","KX262987","11671","-N/A-","35065",1996-01-01,"Human","Homo sapiens","Thailand","genomic RNA",11671,0.972583333333333,">90%","Asia","Southeastern Asia"
"35","L2","Chikungunya virus","KF283986","11537","-N/A-","38353",2005-01-01,"Human","Homo sapiens","Comoros","genomic RNA",11537,0.961416666666667,">90%","Africa","Eastern Africa"
"36","S7","Chikungunya virus","KF283987","11712","-N/A-","38353",2005-01-01,"Human","Homo sapiens","Comoros","genomic RNA",11712,0.976,">90%","Africa","Eastern Africa"
"37","Com5","Chikungunya virus","KP702297","11171","-N/A-","38353",2005-01-01,"Human","Homo sapiens","Comoros","genomic RNA",11171,0.930916666666667,">90%","Africa","Eastern Africa"
"38","Chikungunya virus/A.aegypti-wt/Comoros/2005/Com125","Chikungunya virus","MK028836","11839","-N/A-","38353",2005-01-01,"Mosquito","Aedes aegypti","Comoros","genomic RNA",11839,0.986583333333333,">90%","Africa","Eastern Africa"
"39","HD 180760","Chikungunya virus","HM045817","11832","-N/A-","11/2005",2005-11-01,"Human","Homo sapiens","Senegal","genomic RNA",11832,0.986,">90%","Africa","Western Africa"
"40","IMTSSA6424C","Chikungunya virus","FR717337","11559","-N/A-","12/26/2005",2005-12-26,"Human","Homo sapiens","France","genomic RNA",11559,0.96325,">90%","Europe","Western Europe"
"41","IMTSSA6424S","Chikungunya virus","FR717336","11559","-N/A-","12/26/2005",2005-12-26,"Human","Homo sapiens","France","genomic RNA",11559,0.96325,">90%","Europe","Western Europe"
"42","MY003IMR/06/BP","Chikungunya virus","EU703760","12028","-N/A-","38718",2006-01-01,"Human","Homo sapiens","Malaysia","genomic RNA",12028,1.00233333333333,">90%","Asia","Southeastern Asia"
"43","MY002IMR/06/BP","Chikungunya virus","EU703759","12028","-N/A-","38718",2006-01-01,"Human","Homo sapiens","Malaysia","genomic RNA",12028,1.00233333333333,">90%","Asia","Southeastern Asia"
"44","MY021IMR/06/BP","Chikungunya virus","EU703762","12028","-N/A-","38718",2006-01-01,"Human","Homo sapiens","Malaysia","genomic RNA",12028,1.00233333333333,">90%","Asia","Southeastern Asia"
"45","DRDE-06; DRDEHydISW06","Chikungunya virus","EF210157","11774","-N/A-","38718",2006-01-01,"Human","Homo sapiens","India","genomic RNA",11774,0.981166666666667,">90%","Asia","India+"
"46","MY019IMR/06/BP","Chikungunya virus","EU703761","12028","-N/A-","38718",2006-01-01,"Human","Homo sapiens","Malaysia","genomic RNA",12028,1.00233333333333,">90%","Asia","Southeastern Asia"
"47","0611aTw","Chikungunya virus","FJ807896","11811","-N/A-","38718",2006-01-01,"Human","Homo sapiens","Singapore","genomic RNA",11811,0.98425,">90%","Asia","Southeastern Asia"
"48","BNI-CHIKV_899","Chikungunya virus","FJ959103","11832","-N/A-","38718",2006-01-01,"Human","Homo sapiens","Mauritius","genomic RNA",11832,0.986,">90%","Africa","Eastern Africa"
"49","DHS4263-Calif AB","Chikungunya virus","HM045794","11774","-N/A-","38718",2006-01-01,"Human","Homo sapiens","United States of America","genomic RNA",11774,0.981166666666667,">90%","North America","USA"
"50","SL15649","Chikungunya virus","GU189061","11838","-N/A-","38718",2006-01-01,"Human","Homo sapiens","Sri Lanka","genomic RNA",11838,0.9865,">90%","Asia","India+"
"51","R91064","Chikungunya virus","KJ941050","11659","-N/A-","38718",2006-01-01,"Human","Homo sapiens","United States of America","genomic RNA",11659,0.971583333333333,">90%","North America","USA"
"52","MADOPY1","Chikungunya virus","KP003808","11562","-N/A-","38718",2006-01-01,"Human","Homo sapiens","Madagascar","genomic RNA",11562,0.9635,">90%","Africa","Eastern Africa"
"53","OPY6","Chikungunya virus","KP003807","11562","-N/A-","38718",2006-01-01,"Human","Homo sapiens","France","genomic RNA",11562,0.9635,">90%","Europe","Western Europe"
"54","OPY4","Chikungunya virus","KP003809","11791","-N/A-","38718",2006-01-01,"Human","Homo sapiens","French Southern and Antarctic Lands","genomic RNA",11791,0.982583333333333,">90%",NA,NA
"55","CHIKV/Homo sapiens/CMR/667/2006","Chikungunya virus","KX262996","11570","-N/A-","38718",2006-01-01,"Human","Homo sapiens","Cameroon","genomic RNA",11570,0.964166666666667,">90%","Africa","Western Africa"
"56","CHIKV/Homo sapiens/USA/La-Reunion_OYP1/2006","Chikungunya virus","KY575571","11714","-N/A-","38718",2006-01-01,"Human","Homo sapiens","United States of America","genomic RNA",11714,0.976166666666667,">90%","North America","USA"
"57","CHIKV/Homo sapiens/USA/91064A/2006","Chikungunya virus","KY575568","11758","-N/A-","38718",2006-01-01,"Human","Homo sapiens","United States of America","genomic RNA",11758,0.979833333333333,">90%","North America","USA"
"58","CHIKV/Homo sapiens/USA/91077/2006","Chikungunya virus","KY575567","11758","-N/A-","38718",2006-01-01,"Human","Homo sapiens","United States of America","genomic RNA",11758,0.979833333333333,">90%","North America","USA"
"59","06113879","Chikungunya virus","MH229986","11929","-N/A-","38718",2006-01-01,"Unknown","-N/A-","Mauritius","genomic RNA",11929,0.994083333333333,">90%","Africa","Eastern Africa"
"60","Chikungunya virus/H.sapiens-tc/Sri Lanka/2006/SL15649","Chikungunya virus","MK028838","11824","-N/A-","38718",2006-01-01,"Human","Homo sapiens","Sri Lanka","genomic RNA",11824,0.985333333333333,">90%","Asia","India+"
"61","TM25","Chikungunya virus","EU564334","11772","-N/A-","02/14/2006",2006-02-14,"Human","Homo sapiens","Mauritius","genomic RNA",11772,0.981,">90%","Africa","Eastern Africa"
"62","MY/06/37348","Chikungunya virus","FN295483","11612","-N/A-","03/2006",2006-03-01,"Human","Homo sapiens","Malaysia","genomic RNA",11612,0.967666666666667,">90%","Asia","Southeastern Asia"
"63","MY/06/37350","Chikungunya virus","FN295484","11612","-N/A-","03/2006",2006-03-01,"Human","Homo sapiens","Malaysia","genomic RNA",11612,0.967666666666667,">90%","Asia","Southeastern Asia"
"64","IND-MH51","Chikungunya virus","FJ000067","11812","-N/A-","08/2006",2006-08-01,"Human","Homo sapiens","India","genomic RNA",11812,0.984333333333333,">90%","Asia","India+"
"65","IND-KA51","Chikungunya virus","FJ000068","11812","-N/A-","08/2006",2006-08-01,"Human","Homo sapiens","India","genomic RNA",11812,0.984333333333333,">90%","Asia","India+"
"66","IND-KR51","Chikungunya virus","FJ000066","11812","-N/A-","09/2006",2006-09-01,"Human","Homo sapiens","India","genomic RNA",11812,0.984333333333333,">90%","Asia","India+"
"67","IND-GJ52","Chikungunya virus","FJ000062","11812","-N/A-","09/2006",2006-09-01,"Human","Homo sapiens","India","genomic RNA",11812,0.984333333333333,">90%","Asia","India+"
"68","IND-GJ51","Chikungunya virus","FJ000064","11807","-N/A-","09/2006",2006-09-01,"Human","Homo sapiens","India","genomic RNA",11807,0.983916666666667,">90%","Asia","India+"
"69","IND-GJ53","Chikungunya virus","FJ000065","11813","-N/A-","09/2006",2006-09-01,"Human","Homo sapiens","India","genomic RNA",11813,0.984416666666667,">90%","Asia","India+"
"70","IND-06-Guj","Chikungunya virus","JF274082","11829","-N/A-","09/27/2006",2006-09-27,"Human","Homo sapiens","India","genomic RNA",11829,0.98575,">90%","Asia","India+"
"71","IND-KA52","Chikungunya virus","FJ000063","11812","-N/A-","10/2006",2006-10-01,"Human","Homo sapiens","India","genomic RNA",11812,0.984333333333333,">90%","Asia","India+"
"72","RGCB05/KL06","Chikungunya virus","GQ428211","11764","-N/A-","10/07/2006",2006-10-07,"Human","Homo sapiens","India","genomic RNA",11764,0.980333333333333,">90%","Asia","India+"
"73","RGCB03/KL06","Chikungunya virus","GQ428210","11764","-N/A-","10/07/2006",2006-10-07,"Human","Homo sapiens","India","genomic RNA",11764,0.980333333333333,">90%","Asia","India+"
"74","CHIK31","Chikungunya virus","EU564335","11810","-N/A-","10/31/2006",2006-10-31,"Human","Homo sapiens","India","genomic RNA",11810,0.984166666666667,">90%","Asia","India+"
"75","SL R233","Chikungunya virus","MK086029","11811","-N/A-","11/14/2006",2006-11-14,"Human","Homo sapiens; male","Sri Lanka","genomic RNA",11811,0.98425,">90%","Asia","India+"
"76","SL11131","Chikungunya virus","AB455493","11829","-N/A-","12/2006",2006-12-01,"Human","Homo sapiens",NA,"genomic RNA",11829,0.98575,">90%",NA,NA
"77","SL10571","Chikungunya virus","AB455494","11829","-N/A-","12/2006",2006-12-01,"Human","Homo sapiens",NA,"genomic RNA",11829,0.98575,">90%",NA,NA
"78","ITA07-RA1","Chikungunya virus","EU244823","11788","-N/A-","39083",2007-01-01,"Unknown","-N/A-","Italy","genomic RNA",11788,0.982333333333333,">90%","Europe","Western Europe"
"79","0706aTw","Chikungunya virus","FJ807897","12013","-N/A-","39083",2007-01-01,"Human","Homo sapiens","Indonesia","genomic RNA",12013,1.00108333333333,">90%","Asia","Indonesia+"
"80","SL-CK1","Chikungunya virus","HM045801","11766","-N/A-","39083",2007-01-01,"Human","Homo sapiens","Sri Lanka","genomic RNA",11766,0.9805,">90%","Asia","India+"
"81","SL-CR 3","Chikungunya virus","HM045799","11758","-N/A-","39083",2007-01-01,"Human","Homo sapiens","Sri Lanka","genomic RNA",11758,0.979833333333333,">90%","Asia","India+"
"82","StVE","Chikungunya virus","KP003810","11562","-N/A-","39083",2007-01-01,"Human","Homo sapiens","Italy","genomic RNA",11562,0.9635,">90%","Europe","Western Europe"
"83","GABOPY1","Chikungunya virus","KP003812","11561","-N/A-","39083",2007-01-01,"Human","Homo sapiens","Gabon","genomic RNA",11561,0.963416666666667,">90%","Africa","Western Africa"
"84","StBI","Chikungunya virus","KP003811","11562","-N/A-","39083",2007-01-01,"Human","Homo sapiens","Italy","genomic RNA",11562,0.9635,">90%","Europe","Western Europe"
"85","CHIKV/Homo sapiens/ITA/Venturini/2007","Chikungunya virus","KX262993","11621","-N/A-","39083",2007-01-01,"Human","Homo sapiens","Italy","genomic RNA",11621,0.968416666666667,">90%","Europe","Western Europe"
"86","CHIKV/Homo sapiens/ITA/Bianchi/2007","Chikungunya virus","KX262989","11757","-N/A-","39083",2007-01-01,"Human","Homo sapiens","Italy","genomic RNA",11757,0.97975,">90%","Europe","Western Europe"
"87","M129","Chikungunya virus","KM923920","11837","-N/A-","03/09/2007",2007-03-09,"Macaque","Macaca fascicularis","Malaysia","genomic RNA",11837,0.986416666666667,">90%","Asia","Southeastern Asia"
"88","M125","Chikungunya virus","KM923917","11837","-N/A-","03/09/2007",2007-03-09,"Macaque","Macaca fascicularis","Malaysia","genomic RNA",11837,0.986416666666667,">90%","Asia","Southeastern Asia"
"89","M128","Chikungunya virus","KM923919","11837","-N/A-","03/09/2007",2007-03-09,"Macaque","Macaca fascicularis","Malaysia","genomic RNA",11837,0.986416666666667,">90%","Asia","Southeastern Asia"
"90","M127","Chikungunya virus","KM923918","11837","-N/A-","03/09/2007",2007-03-09,"Macaque","Macaca fascicularis","Malaysia","genomic RNA",11837,0.986416666666667,">90%","Asia","Southeastern Asia"
"91","LKRGCH1507","Chikungunya virus","FJ445428","11717","-N/A-","05/2007",2007-05-01,"Human","Homo sapiens","Sri Lanka","genomic RNA",11717,0.976416666666667,">90%","Asia","India+"
"92","IND-KR52","Chikungunya virus","FJ000069","11812","-N/A-","06/2007",2007-06-01,"Human","Homo sapiens","India","genomic RNA",11812,0.984333333333333,">90%","Asia","India+"
"93","DRDE-07","Chikungunya virus","EU372006","11774","-N/A-","06/11/2007",2007-06-11,"Human","Homo sapiens","India","genomic RNA",11774,0.981166666666667,">90%","Asia","India+"
"94","LKMTCH2707","Chikungunya virus","FJ445427","11717","-N/A-","07/2007",2007-07-01,"Human","Homo sapiens","Sri Lanka","genomic RNA",11717,0.976416666666667,">90%","Asia","India+"
"95","RGCB80/KL07","Chikungunya virus","GQ428212","11764","-N/A-","07/12/2007",2007-07-12,"Human","Homo sapiens","India","genomic RNA",11764,0.980333333333333,">90%","Asia","India+"
"96","RGCB120/KL07","Chikungunya virus","GQ428213","11764","-N/A-","07/13/2007",2007-07-13,"Human","Homo sapiens","India","genomic RNA",11764,0.980333333333333,">90%","Asia","India+"
"97","CHIKV/Italy/Emilia Romagna-ISS-1/2007","Chikungunya virus","MK120201","11406","-N/A-","08/20/2007",2007-08-20,"Human","Homo sapiens","Italy","genomic RNA",11406,0.9505,">90%","Europe","Western Europe"
"98","CHIKV/Italy/Emilia Romagna-ISS-2/2007","Chikungunya virus","MK120202","11406","-N/A-","08/25/2007",2007-08-25,"Human","Homo sapiens","Italy","genomic RNA",11406,0.9505,">90%","Europe","Western Europe"
"99","SGEHICHS277108","Chikungunya virus","FJ445510","11800","-N/A-","39448",2008-01-01,"Human","Homo sapiens","Singapore","genomic RNA",11800,0.983333333333333,">90%","Asia","Southeastern Asia"
"100","SGEHICHD13508","Chikungunya virus","FJ445511","11719","-N/A-","39448",2008-01-01,"Human","Homo sapiens","Singapore","genomic RNA",11719,0.976583333333333,">90%","Asia","Southeastern Asia"
"101","0810bTw","Chikungunya virus","FJ807899","11811","-N/A-","39448",2008-01-01,"Human","Homo sapiens","Malaysia","genomic RNA",11811,0.98425,">90%","Asia","Southeastern Asia"
"102","0810aTw","Chikungunya virus","FJ807898","11811","-N/A-","39448",2008-01-01,"Human","Homo sapiens","Bangladesh","genomic RNA",11811,0.98425,">90%","Asia","India+"
"103","FD080231","Chikungunya virus","GU199353","11687","-N/A-","39448",2008-01-01,"Human","Homo sapiens","China","genomic RNA",11687,0.973916666666667,">90%","Asia","China+"
"104","FD080008","Chikungunya virus","GU199350","11687","-N/A-","39448",2008-01-01,"Human","Homo sapiens","China","genomic RNA",11687,0.973916666666667,">90%","Asia","China+"
"105","FD080178","Chikungunya virus","GU199352","11677","-N/A-","39448",2008-01-01,"Human","Homo sapiens","China","genomic RNA",11677,0.973083333333333,">90%","Asia","China+"
"106","SD08Pan","Chikungunya virus","GU199351","11793","-N/A-","39448",2008-01-01,"Human","Homo sapiens","China","genomic RNA",11793,0.98275,">90%","Asia","China+"
"107","MY/08/068","Chikungunya virus","FN295487","11818","-N/A-","39448",2008-01-01,"Human","Homo sapiens","Malaysia","genomic RNA",11818,0.984833333333333,">90%","Asia","Southeastern Asia"
"108","MY/08/065","Chikungunya virus","FN295485","11745","-N/A-","39448",2008-01-01,"Human","Homo sapiens","Malaysia","genomic RNA",11745,0.97875,">90%","Asia","Southeastern Asia"
"109","SVUKDP-08","Chikungunya virus","JN558835","11733","-N/A-","39448",2008-01-01,"Human","Homo sapiens","India","genomic RNA",11733,0.97775,">90%","Asia","India+"
"110","CHIKV/Homo sapiens/USA/2008_Sri-Lanka/2008","Chikungunya virus","KY575570","11758","-N/A-","39448",2008-01-01,"Human","Homo sapiens","United States of America","genomic RNA",11758,0.979833333333333,">90%","North America","USA"
"111","Malaysia 2008","Chikungunya virus","MF773568","11811","-N/A-","39448",2008-01-01,"Human","Homo sapiens","Malaysia","genomic RNA",11811,0.98425,">90%","Asia","Southeastern Asia"
"112","LK(PB)chik6008","Chikungunya virus","GU013529","11718","-N/A-","03/2008",2008-03-01,"Human","Homo sapiens","Sri Lanka","genomic RNA",11718,0.9765,">90%","Asia","India+"
"113","LK(PB)chik3408","Chikungunya virus","GU013528","11715","-N/A-","03/2008",2008-03-01,"Human","Homo sapiens","Sri Lanka","genomic RNA",11715,0.97625,">90%","Asia","India+"
"114","LK(PB)CH1008","Chikungunya virus","FJ513628","11722","-N/A-","03/2008",2008-03-01,"Human","Homo sapiens","Sri Lanka","genomic RNA",11722,0.976833333333333,">90%","Asia","India+"
"115","LK(PB)CH5308","Chikungunya virus","FJ513635","11726","-N/A-","03/2008",2008-03-01,"Human","Homo sapiens","Sri Lanka","genomic RNA",11726,0.977166666666667,">90%","Asia","India+"
"116","LK(PB)CH3008","Chikungunya virus","FJ513632","11693","-N/A-","03/2008",2008-03-01,"Human","Homo sapiens","Sri Lanka","genomic RNA",11693,0.974416666666667,">90%","Asia","India+"
"117","LK(PB)CH1608","Chikungunya virus","FJ513629","11716","-N/A-","03/2008",2008-03-01,"Human","Homo sapiens","Sri Lanka","genomic RNA",11716,0.976333333333333,">90%","Asia","India+"
"118","LK(PB)CH5808","Chikungunya virus","FJ513637","11710","-N/A-","03/2008",2008-03-01,"Human","Homo sapiens","Sri Lanka","genomic RNA",11710,0.975833333333333,">90%","Asia","India+"
"119","LK(EH)chik19708","Chikungunya virus","GU013530","11714","-N/A-","04/2008",2008-04-01,"Human","Homo sapiens","Sri Lanka","genomic RNA",11714,0.976166666666667,">90%","Asia","India+"
"120","LK(EH)CH17708","Chikungunya virus","FJ513673","11710","-N/A-","04/2008",2008-04-01,"Human","Homo sapiens","Sri Lanka","genomic RNA",11710,0.975833333333333,">90%","Asia","India+"
"121","LKEHCH13908","Chikungunya virus","FJ445426","11717","-N/A-","04/2008",2008-04-01,"Human","Homo sapiens","Sri Lanka","genomic RNA",11717,0.976416666666667,">90%","Asia","India+"
"122","LK(EH)CH20108","Chikungunya virus","FJ513679","11717","-N/A-","04/2008",2008-04-01,"Human","Homo sapiens","Sri Lanka","genomic RNA",11717,0.976416666666667,">90%","Asia","India+"
"123","LK(EH)CH4408","Chikungunya virus","FJ513645","11714","-N/A-","04/2008",2008-04-01,"Human","Homo sapiens","Sri Lanka","genomic RNA",11714,0.976166666666667,">90%","Asia","India+"
"124","LK(EH)CH18608","Chikungunya virus","FJ513675","11716","-N/A-","04/2008",2008-04-01,"Human","Homo sapiens","Sri Lanka","genomic RNA",11716,0.976333333333333,">90%","Asia","India+"
"125","LK(EH)CH7708","Chikungunya virus","FJ513657","11696","-N/A-","04/2008",2008-04-01,"Human","Homo sapiens","Sri Lanka","genomic RNA",11696,0.974666666666667,">90%","Asia","India+"
"126","LK(EH)CH6708","Chikungunya virus","FJ513654","11717","-N/A-","04/2008",2008-04-01,"Human","Homo sapiens","Sri Lanka","genomic RNA",11717,0.976416666666667,">90%","Asia","India+"
"127","SGEHICHT077808","Chikungunya virus","FJ445484","11790","-N/A-","05/2008",2008-05-01,"Human","Homo sapiens","Singapore","genomic RNA",11790,0.9825,">90%","Asia","Southeastern Asia"
"128","RGCB356/KL08","Chikungunya virus","GQ428215","11764","-N/A-","05/29/2008",2008-05-29,"Human","Homo sapiens","India","genomic RNA",11764,0.980333333333333,">90%","Asia","India+"
"129","RGCB355/KL08","Chikungunya virus","GQ428214","11764","-N/A-","06/29/2008",2008-06-29,"Human","Homo sapiens","India","genomic RNA",11764,0.980333333333333,">90%","Asia","India+"
"130","SGEHICHD93508","Chikungunya virus","FJ445430","11722","-N/A-","07/2008",2008-07-01,"Human","Homo sapiens","Singapore","genomic RNA",11722,0.976833333333333,">90%","Asia","Southeastern Asia"
"131","SGEHICHS421708","Chikungunya virus","FJ445431","11722","-N/A-","07/2008",2008-07-01,"Human","Homo sapiens","Singapore","genomic RNA",11722,0.976833333333333,">90%","Asia","Southeastern Asia"
"132","SGEHICHD96808","Chikungunya virus","FJ445463","11729","-N/A-","07/2008",2008-07-01,"Human","Homo sapiens","Singapore","genomic RNA",11729,0.977416666666667,">90%","Asia","Southeastern Asia"
"133","SGEHICHS422308","Chikungunya virus","FJ445432","11722","-N/A-","07/2008",2008-07-01,"Human","Homo sapiens","Singapore","genomic RNA",11722,0.976833333333333,">90%","Asia","Southeastern Asia"
"134","SGEHICHD122508","Chikungunya virus","FJ445502","11717","-N/A-","08/2008",2008-08-01,"Human","Homo sapiens","Singapore","genomic RNA",11717,0.976416666666667,">90%","Asia","Southeastern Asia"
"135","SGEHICHS425208","Chikungunya virus","FJ445445","11719","-N/A-","08/2008",2008-08-01,"Human","Homo sapiens","Singapore","genomic RNA",11719,0.976583333333333,">90%","Asia","Southeastern Asia"
"136","SGEHICHS424108","Chikungunya virus","FJ445443","11714","-N/A-","08/2008",2008-08-01,"Human","Homo sapiens","Singapore","genomic RNA",11714,0.976166666666667,">90%","Asia","Southeastern Asia"
"137","SGEHICHS422808","Chikungunya virus","FJ445433","11729","-N/A-","08/2008",2008-08-01,"Human","Homo sapiens","Singapore","genomic RNA",11729,0.977416666666667,">90%","Asia","Southeastern Asia"
"138","MY/08/9405","Chikungunya virus","FR687340","11172","-N/A-","08/21/2008",2008-08-21,"Human","Homo sapiens","Malaysia","genomic RNA",11172,0.931,">90%","Asia","Southeastern Asia"
"139","CU-Chik10","Chikungunya virus","GU301780","11811","-N/A-","10/21/2008",2008-10-21,"Human","Homo sapiens","Thailand","genomic RNA",11811,0.98425,">90%","Asia","Southeastern Asia"
"140","MY/08/0978","Chikungunya virus","FR687341","11172","-N/A-","11/05/2008",2008-11-05,"Human","Homo sapiens","Malaysia","genomic RNA",11172,0.931,">90%","Asia","Southeastern Asia"
"141","Thailand-2008_CK80","Chikungunya virus","KJ796848","11789","-N/A-","11/06/2008",2008-11-06,"Unknown","-N/A-","Thailand","genomic RNA",11789,0.982416666666667,">90%","Asia","Southeastern Asia"
